key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.5831,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3236,-39,-89,1,0,0,response5disk,,3,15,8,1,0,0,rectangle,15,8,1,0,0,,,,,,,15,8,1,0,0,,0,23,23,0,1,
,,,,,,,,,,,,,FF,,,,,,,,1.8334,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1283,110,-54,1,0,0,response3disk,,5,17,0,1,0,0,rectangle,17,0,1,0,0,,,,,,,17,0,1,0,0,,0,24,24,144,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3333,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1808,81,-35,1,0,0,response3disk,,5,-7,21,1,0,0,rectangle,-7,21,1,0,0,,,,,,,-7,21,1,0,0,,0,25,25,56,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7667,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,941,71,97,1,0,0,response1disk,,7,0,-4,1,0,0,rectangle,0,-4,1,0,0,,,,,,,0,-4,1,0,0,,0,26,26,110,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7829,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4096,-51,-106,1,0,0,response5disk,,3,15,9,1,0,0,rectangle,15,9,1,0,0,,,,,,,15,9,1,0,0,,0,27,27,25,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0833,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3053,-136,-71,1,0,0,response5disk,,2,45,6,1,0,0,rectangle,45,6,1,0,0,,,,,,,45,6,1,0,0,,0,28,28,98,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8666,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4337,-91,-42,1,0,0,response5disk,,2,19,-15,1,0,0,rectangle,19,-15,1,0,0,,,,,,,19,-15,1,0,0,,0,29,29,12,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,121,118,-66,1,0,0,response3disk,,5,36,-1,1,0,0,rectangle,36,-1,1,0,0,,,,,,,36,-1,1,0,0,,0,30,30,15,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9167,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1150,120,58,1,0,0,response1disk,,6,-3,8,1,0,0,rectangle,-3,8,1,0,0,,,,,,,-3,8,1,0,0,,0,31,31,137,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7502,,,,,,,,,,,,,,,,,,,,,,5da3501124681c0015e6f56c,60e56392ceb7aeb9d000fd93,2021-07-07_10h20.48.086,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1685,74,-119,1,0,0,response3disk,,4,-4,-2,1,0,0,rectangle,-64,-112,1,0,0,response5disk_3,TRUE,3,3,"[282,127,39,1,187,181,207,296,241,306,52,277,226,279,263,52,33,206,144,266]",1.5836,-10,-6,1,0,0,rectangle,0,32,32,117,1,
