key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,0.7165,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3045,-51,93,1,0,0,response7disk,,0,2,1,1,0,0,rectangle,2,1,1,0,0,,,,,,,2,1,1,0,0,,0,23,23,98,1,
,,,,,,,,,,,,,FF,,,,,,,,2.7997,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4243,45,-111,1,0,0,response3disk,,4,-6,11,1,0,0,rectangle,-6,11,1,0,0,,,,,,,-6,11,1,0,0,,0,24,24,35,1,
,,,,,,,,,,,,,FF,,,,,,,,1.6499,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2341,116,-59,1,0,0,response3disk,,5,-6,3,1,0,0,rectangle,-6,3,1,0,0,,,,,,,-6,3,1,0,0,,0,25,25,15,1,
,,,,,,,,,,,,,FF,,,,,,,,8.617,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,535,-52,-102,1,0,0,response5disk,,3,-6,5,1,0,0,rectangle,-6,5,1,0,0,,,,,,,-6,5,1,0,0,,0,26,26,90,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8018,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2738,71,-134,1,0,0,response3disk,,4,-30,4,1,0,0,rectangle,-30,4,1,0,0,,,,,,,-30,4,1,0,0,,0,27,27,2,1,
,,,,,,,,,,,,,FF,,,,,,,,0.866,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1711,101,-61,1,0,0,response3disk,,5,-26,13,1,0,0,rectangle,-26,13,1,0,0,,,,,,,-26,13,1,0,0,,0,28,28,117,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1333,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1432,52,82,1,0,0,response1disk,,7,0,4,1,0,0,rectangle,0,4,1,0,0,,,,,,,0,4,1,0,0,,0,29,29,55,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5002,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3924,114,51,1,0,0,response1disk,,6,13,2,1,0,0,rectangle,54,-129,1,0,0,response3disk_3,TRUE,4,4,"[78,220,32,192,1,31,140,144,202,285,107,39,291,226,52,210,0,102,120,224]",1.9004,-16,3,1,0,0,rectangle,0,30,30,79,1,
,,,,,,,,,,,,,FF,,,,,,,,2.2444,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1572,94,55,1,0,0,response1disk,,6,19,7,1,0,0,rectangle,-44,-143,1,0,0,response5disk_3,TRUE,3,3,"[78,220,32,192,1,31,140,144,202,285,107,39,291,226,52,210,0,102,120,224]",1.8832,-12,-6,1,0,0,rectangle,0,31,31,141,1,
,,,,,,,,,,,,,FF,,,,,,,,1.6002,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,22,57,-96,1,0,0,response3disk,,4,-19,0,1,0,0,rectangle,-19,0,1,0,0,,,,,,,-19,0,1,0,0,,0,32,32,12,1,
