key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,,id
,,,,,,,,,,,,,FF,,,,,,,,1.3335,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1122,-47.19998926,-14.40000665,1,0,0,response5disk,,2,-33.59998906,-2.400006473,1,0,0,rectangle,-33.59998906,-2.400006473,1,0,0,-33.59998906,-2.400006473,1,0,0,0,23,23,139,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0622,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,405,28.80001187,-54.40000725,1,0,0,response3disk,,4,-14.39993994,-2.400006473,1,0,0,rectangle,-14.39993994,-2.400006473,1,0,0,-14.39993994,-2.400006473,1,0,0,0,24,24,109,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0411,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3864,-14.39993994,-51.2000072,1,0,0,response5disk,,3,-15.19998878,-7.200006545,1,0,0,rectangle,-15.19998878,-7.200006545,1,0,0,-15.19998878,-7.200006545,1,0,0,0,25,25,137,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6457,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3257,-37.59998912,-27.20000684,1,0,0,response5disk,,2,4.000011504,-4.800006509,1,0,0,rectangle,4.000011504,-4.800006509,1,0,0,4.000011504,-4.800006509,1,0,0,0,26,26,77,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7473,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,210,61.60001236,-28.80000687,1,0,0,response3disk,,5,22.40001178,-14.40000665,1,0,0,rectangle,22.40001178,-14.40000665,1,0,0,22.40001178,-14.40000665,1,0,0,0,27,27,123,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3604,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3623,-61.59998947,-21.60000676,1,0,0,response5disk,,2,-32.79998904,7.999993682,1,0,0,rectangle,84.0000127,20.79999387,1,0,0,18.40001172,-11.2000066,1,0,0,0,28,28,110,1,,response1disk_3,TRUE,6,6,"[21,309,118,265,116,296,246,55,29,240,62,304,16,177,91,258,185,62,33,136]",1.0965,rectangle,,
,,,,,,,,,,,,,FF,,,,,,,,0.9554,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1243,-53.59998935,27.99999398,1,0,0,response7disk,,1,-27.99998897,9.599993706,1,0,0,rectangle,-27.99998897,9.599993706,1,0,0,-27.99998897,9.599993706,1,0,0,0,29,29,73,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6521,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1368,-32.79998904,51.99999434,1,0,0,response7disk,,0,-15.99998879,11.19999373,1,0,0,rectangle,-15.99998879,11.19999373,1,0,0,-15.99998879,11.19999373,1,0,0,0,30,30,151,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5135,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2343,17.60006053,-36.00000697,1,0,0,response3disk,,4,3.200011492,-2.400006473,1,0,0,rectangle,3.200011492,-2.400006473,1,0,0,3.200011492,-2.400006473,1,0,0,0,31,31,37,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8819,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2180,37.60006083,-14.40000665,1,0,0,response3disk,,5,37.60006083,-14.40000665,1,0,0,rectangle,58.40001231,16.79999381,1,0,0,28.80001187,2.399993598,1,0,0,0,32,32,105,1,,response1disk_3,TRUE,6,6,"[21,309,118,265,116,296,246,55,29,240,62,304,16,177,91,258,185,62,33,136]",1.4154,rectangle,,
,,,,,,,,,,,,,FF,,,,,,,,0.7425,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2398,35.20001197,53.59999436,1,0,0,response1disk,,7,31.20001191,15.9999938,1,0,0,rectangle,31.20001191,15.9999938,1,0,0,31.20001191,15.9999938,1,0,0,0,33,33,138,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0277,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2399,-37.59998912,18.39999384,1,0,0,response7disk,,1,-19.19998884,11.99999374,1,0,0,rectangle,-19.19998884,11.99999374,1,0,0,-19.19998884,11.99999374,1,0,0,0,34,34,116,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.847,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3832,20.00001174,-34.40000695,1,0,0,response3disk,,4,-3.199988604,-6.44E-06,1,0,0,rectangle,-3.199988604,-6.44E-06,1,0,0,-3.199988604,-6.44E-06,1,0,0,0,35,35,128,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1528,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3677,-34.39994024,-28.00000685,1,0,0,response5disk,,2,-11.99998873,-9.60000658,1,0,0,rectangle,-11.99998873,-9.60000658,1,0,0,-11.99998873,-9.60000658,1,0,0,0,36,36,75,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7289,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2320,-53.59998935,16.79999381,1,0,0,response7disk,,1,-14.39993994,7.19999367,1,0,0,rectangle,-14.39993994,7.19999367,1,0,0,-14.39993994,7.19999367,1,0,0,0,37,37,143,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7228,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3465,31.20001191,-24.00000679,1,0,0,response3disk,,5,20.80001175,-8.800006568,1,0,0,rectangle,20.80001175,-8.800006568,1,0,0,20.80001175,-8.800006568,1,0,0,0,38,38,0,1,,,,,,,,,,
